"id","time","censored","total_charges","monthly_charges","contract","payment_method","paperless","gender","senior","partner","dependents","phone_service","multiple_lines","internet_service","online_security","online_backup","device_protection","tech_support","streaming_tv","streaming_movies"
1693,39,1,947.75,25.25,"One year","Credit card (automatic)","Yes","Male","No","Yes","Yes","No","No phone service","DSL","No","No","No","No","No","No"
1694,72,1,8375.05,114.45,"Two year","Credit card (automatic)","No","Male","No","Yes","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes"
1695,1,0,34.7,34.7,"Month-to-month","Electronic check","Yes","Female","No","No","No","No","No phone service","DSL","No","No","No","No","Yes","No"
1696,54,1,3770,70.7,"One year","Electronic check","Yes","Male","No","Yes","Yes","Yes","Yes","DSL","No","Yes","No","Yes","Yes","No"
1697,3,0,264.8,85.3,"Month-to-month","Electronic check","Yes","Male","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","Yes"
1698,63,1,4707.85,75.55,"Two year","Credit card (automatic)","No","Female","No","Yes","Yes","Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","No"
1699,71,1,6152.4,84.8,"Two year","Electronic check","Yes","Male","No","Yes","Yes","Yes","Yes","Fiber optic","No","Yes","No","Yes","No","No"
1700,42,1,958.1,20.65,"One year","Mailed check","Yes","Female","No","No","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1701,47,1,943,20.45,"Two year","Bank transfer (automatic)","No","Male","No","No","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1702,66,0,6615.15,102.45,"One year","Credit card (automatic)","Yes","Female","No","Yes","Yes","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes"
1703,21,0,2200.25,104.4,"Month-to-month","Bank transfer (automatic)","Yes","Female","No","Yes","No","Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes"
1704,11,1,425.1,35.65,"Month-to-month","Electronic check","Yes","Male","No","No","No","No","No phone service","DSL","No","Yes","No","Yes","No","No"
1705,1,0,99.75,99.75,"Month-to-month","Electronic check","Yes","Male","No","No","Yes","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
1706,55,1,5044.8,90.45,"Month-to-month","Electronic check","No","Female","Yes","Yes","No","Yes","Yes","Fiber optic","No","Yes","Yes","Yes","No","No"
1707,69,1,6743.55,97.65,"Two year","Credit card (automatic)","Yes","Male","No","No","No","Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","No"
1708,3,1,196.4,73.85,"Month-to-month","Electronic check","No","Female","Yes","No","No","Yes","No","Fiber optic","No","No","Yes","No","No","No"
1709,4,0,299.7,74.4,"Month-to-month","Electronic check","Yes","Male","No","No","No","Yes","No","DSL","No","No","Yes","Yes","Yes","Yes"
1710,30,1,2093.9,69.1,"Two year","Credit card (automatic)","Yes","Male","Yes","No","No","Yes","Yes","DSL","No","No","Yes","Yes","Yes","No"
1711,5,1,417.75,82.75,"Month-to-month","Electronic check","Yes","Female","No","No","No","Yes","Yes","Fiber optic","No","No","Yes","Yes","No","No"
1712,71,1,1725.4,24.4,"Two year","Credit card (automatic)","Yes","Female","No","Yes","No","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1713,29,1,1620.2,55.25,"One year","Electronic check","Yes","Female","No","No","No","Yes","Yes","DSL","No","Yes","No","No","No","No"
1714,52,1,3169.55,61.35,"Month-to-month","Bank transfer (automatic)","No","Male","No","Yes","No","Yes","Yes","DSL","No","Yes","No","Yes","No","No"
1715,68,1,5233.25,76.75,"One year","Credit card (automatic)","No","Male","No","No","No","Yes","Yes","DSL","Yes","Yes","Yes","No","No","Yes"
1716,46,1,967.85,19.4,"Two year","Mailed check","No","Female","No","Yes","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1717,8,1,438.05,54.75,"Month-to-month","Credit card (automatic)","Yes","Male","No","No","No","Yes","No","DSL","No","No","No","No","No","Yes"
1718,72,1,1421.9,19.7,"Two year","Credit card (automatic)","No","Male","No","Yes","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1719,17,1,323.15,19.9,"One year","Bank transfer (automatic)","No","Female","No","No","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1720,3,1,318.6,107.95,"Month-to-month","Electronic check","Yes","Male","No","No","No","Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes"
1721,2,1,163.7,83.8,"Month-to-month","Bank transfer (automatic)","Yes","Female","Yes","No","No","Yes","No","Fiber optic","No","Yes","No","No","Yes","No"
1722,9,0,639.65,74.25,"Month-to-month","Credit card (automatic)","Yes","Female","No","No","No","Yes","No","Fiber optic","Yes","No","No","No","No","No"
1723,51,1,2928.5,56.4,"One year","Credit card (automatic)","Yes","Female","No","No","No","No","No phone service","DSL","No","Yes","Yes","No","Yes","Yes"
1724,6,1,100.35,20.1,"Two year","Mailed check","No","Female","No","Yes","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1725,3,1,273.2,94.9,"Month-to-month","Electronic check","No","Female","No","Yes","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes"
1726,17,1,1608.15,94.2,"Month-to-month","Electronic check","Yes","Female","Yes","No","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes"
1727,30,1,1441.95,49.9,"Month-to-month","Electronic check","No","Male","No","Yes","No","Yes","Yes","DSL","No","No","No","No","No","No"
1728,31,1,2168.15,71.05,"Month-to-month","Electronic check","Yes","Male","No","No","No","Yes","Yes","DSL","No","Yes","No","Yes","Yes","No"
1729,45,1,3618.7,81.65,"Two year","Bank transfer (automatic)","No","Female","No","No","No","Yes","No","DSL","Yes","No","Yes","Yes","Yes","Yes"
1730,64,1,5692.65,89.45,"One year","Bank transfer (automatic)","No","Male","No","Yes","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","No"
1731,1,0,59.85,59.85,"Month-to-month","Electronic check","Yes","Male","No","No","No","Yes","Yes","DSL","No","No","No","No","Yes","No"
1732,1,0,69.6,69.6,"Month-to-month","Electronic check","Yes","Female","Yes","No","No","Yes","No","Fiber optic","No","No","No","No","No","No"
1733,61,1,5969.3,99,"One year","Electronic check","No","Male","Yes","Yes","Yes","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes"
1734,1,1,19.05,19.05,"Month-to-month","Mailed check","No","Male","No","No","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1735,9,0,418.8,45.4,"Month-to-month","Electronic check","Yes","Male","No","No","No","No","No phone service","DSL","No","No","No","No","Yes","Yes"
1736,72,1,8100.55,114.45,"Two year","Bank transfer (automatic)","No","Male","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes"
1737,1,0,19.5,19.5,"Month-to-month","Mailed check","No","Female","No","No","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1738,7,1,313.45,44.25,"Month-to-month","Mailed check","Yes","Female","No","Yes","No","Yes","No","DSL","No","No","No","No","No","No"
1739,66,1,6130.95,90.55,"One year","Bank transfer (automatic)","Yes","Female","No","Yes","No","Yes","Yes","Fiber optic","No","Yes","Yes","Yes","No","No"
1740,1,0,69.9,69.9,"Month-to-month","Electronic check","Yes","Male","No","No","No","Yes","No","Fiber optic","No","No","No","No","No","No"
1741,40,1,745.3,20.4,"Month-to-month","Bank transfer (automatic)","Yes","Male","No","Yes","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1742,16,1,1212.1,71.4,"Month-to-month","Bank transfer (automatic)","Yes","Male","No","No","No","Yes","Yes","DSL","No","Yes","Yes","No","No","Yes"
1743,2,0,183.75,87.15,"Month-to-month","Bank transfer (automatic)","Yes","Female","No","No","No","Yes","No","Fiber optic","No","Yes","No","No","Yes","No"
1744,67,1,1583.5,24.85,"Two year","Credit card (automatic)","No","Male","No","Yes","No","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1745,41,1,4162.05,104.45,"One year","Bank transfer (automatic)","Yes","Female","No","Yes","No","Yes","No","Fiber optic","Yes","Yes","Yes","No","Yes","Yes"
1746,56,1,1119.9,19.8,"Two year","Credit card (automatic)","Yes","Female","No","Yes","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1747,72,1,8013.55,116.45,"Two year","Bank transfer (automatic)","Yes","Female","No","No","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes"
1748,3,0,264.85,84.75,"Month-to-month","Bank transfer (automatic)","Yes","Female","No","Yes","Yes","Yes","Yes","Fiber optic","No","No","No","No","No","Yes"
1749,54,1,1102.4,20.05,"Two year","Credit card (automatic)","No","Female","No","Yes","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1750,52,1,5832,110.75,"Month-to-month","Electronic check","Yes","Male","Yes","No","No","Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes"
1751,50,1,4304.5,89.7,"Two year","Bank transfer (automatic)","Yes","Female","No","No","No","Yes","No","Fiber optic","No","No","Yes","Yes","No","Yes"
1752,14,0,1178.4,89.95,"Month-to-month","Electronic check","Yes","Male","No","No","No","Yes","Yes","Fiber optic","No","No","No","Yes","Yes","No"
1753,27,1,1421.75,48.7,"One year","Credit card (automatic)","No","Male","No","Yes","No","Yes","No","DSL","Yes","No","No","No","No","No"
1754,72,1,6827.5,96.6,"Two year","Bank transfer (automatic)","Yes","Female","Yes","Yes","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No"
1755,62,1,4698.05,74.3,"One year","Credit card (automatic)","Yes","Male","No","No","No","Yes","No","DSL","Yes","Yes","No","No","Yes","Yes"
1756,12,1,654.5,54.3,"Month-to-month","Electronic check","Yes","Female","No","No","No","Yes","No","DSL","No","Yes","No","Yes","No","No"
1757,44,1,3268.05,74.85,"One year","Bank transfer (automatic)","No","Female","Yes","No","No","Yes","No","DSL","No","No","Yes","Yes","Yes","Yes"
1758,54,1,4362.05,79.95,"Two year","Bank transfer (automatic)","Yes","Male","No","Yes","Yes","Yes","No","Fiber optic","No","Yes","No","Yes","No","No"
1759,68,1,1386.9,20.05,"Two year","Bank transfer (automatic)","No","Female","No","No","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1760,20,1,415.4,19.4,"Month-to-month","Mailed check","No","Male","No","No","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1761,50,1,2614.1,54.9,"One year","Bank transfer (automatic)","No","Male","No","Yes","Yes","Yes","Yes","DSL","No","No","Yes","No","No","No"
1762,58,1,1513.6,24.45,"Two year","Credit card (automatic)","Yes","Male","No","No","No","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1763,35,1,3161.6,89.65,"Month-to-month","Bank transfer (automatic)","Yes","Male","No","Yes","Yes","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No"
1764,2,1,80.95,45.4,"Month-to-month","Electronic check","Yes","Female","No","No","No","Yes","No","DSL","No","No","No","No","No","No"
1765,63,1,4676.7,75.7,"Two year","Mailed check","No","Male","No","Yes","Yes","Yes","Yes","DSL","Yes","No","Yes","Yes","No","Yes"
1766,58,1,6526.65,110.65,"One year","Credit card (automatic)","Yes","Female","No","Yes","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes"
1767,27,1,583.3,20.55,"One year","Mailed check","Yes","Female","No","Yes","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1768,71,1,8078.1,115.15,"Two year","Credit card (automatic)","Yes","Female","No","Yes","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes"
1769,63,1,3503.5,58.55,"One year","Credit card (automatic)","No","Female","No","No","No","Yes","No","DSL","No","No","Yes","No","No","Yes"
1770,71,1,6669.45,93.25,"Month-to-month","Bank transfer (automatic)","Yes","Male","No","Yes","No","Yes","Yes","Fiber optic","No","Yes","Yes","No","No","Yes"
1771,41,0,4689.5,113.2,"Month-to-month","Electronic check","Yes","Female","Yes","No","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes"
1772,13,0,1201.15,90.5,"Month-to-month","Electronic check","Yes","Male","Yes","No","No","Yes","No","Fiber optic","No","No","No","No","Yes","Yes"
1773,2,0,143.65,79,"Month-to-month","Electronic check","No","Male","No","No","No","Yes","No","Fiber optic","No","No","No","No","Yes","No"
1774,68,1,1292.65,19.35,"Two year","Bank transfer (automatic)","Yes","Female","No","Yes","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1775,1,1,48.75,48.75,"Month-to-month","Mailed check","Yes","Male","No","Yes","Yes","Yes","No","DSL","Yes","No","No","No","No","No"
1776,65,1,7108.2,109.05,"Two year","Electronic check","Yes","Male","Yes","No","No","Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes"
1777,72,1,1802.55,25,"Two year","Bank transfer (automatic)","Yes","Male","Yes","Yes","No","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1778,28,1,1505.15,54.9,"Month-to-month","Credit card (automatic)","Yes","Female","No","No","No","Yes","Yes","DSL","No","No","No","Yes","No","No"
1779,72,1,1859.1,24.75,"Two year","Credit card (automatic)","No","Male","No","Yes","Yes","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1780,2,1,168.5,91.15,"Month-to-month","Electronic check","Yes","Female","No","No","No","Yes","No","Fiber optic","Yes","Yes","No","No","Yes","No"
1781,18,0,390.85,20.15,"One year","Bank transfer (automatic)","No","Female","No","No","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1782,60,1,6339.45,104.35,"One year","Electronic check","Yes","Male","Yes","Yes","No","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes"
1783,26,1,1652.4,66.05,"Month-to-month","Electronic check","Yes","Female","Yes","No","No","Yes","Yes","DSL","No","No","No","Yes","No","Yes"
1784,1,0,71.65,71.65,"Month-to-month","Electronic check","Yes","Male","No","No","Yes","Yes","No","Fiber optic","No","No","No","No","No","No"
1785,4,0,77.5,20.35,"Month-to-month","Mailed check","No","Female","No","No","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1786,68,1,6392.85,92.2,"Two year","Credit card (automatic)","Yes","Male","No","Yes","Yes","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes"
1787,38,0,3264.5,84.25,"Month-to-month","Credit card (automatic)","Yes","Female","No","No","No","Yes","No","Fiber optic","No","Yes","Yes","Yes","No","No"
1788,42,1,4599.15,105.2,"One year","Bank transfer (automatic)","Yes","Female","Yes","Yes","No","Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes"
1789,57,1,1134.25,19.6,"Two year","Bank transfer (automatic)","Yes","Female","No","Yes","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1790,54,1,1621.35,30.4,"Month-to-month","Electronic check","No","Male","No","Yes","No","No","No phone service","DSL","No","Yes","No","No","No","No"
1791,12,0,947.3,78.1,"Month-to-month","Bank transfer (automatic)","No","Female","No","No","No","Yes","No","Fiber optic","No","No","No","No","No","Yes"
1792,44,1,2722.2,61.5,"One year","Mailed check","Yes","Female","No","Yes","No","Yes","No","DSL","Yes","Yes","Yes","No","No","No"
1793,42,1,3058.3,69.4,"Month-to-month","Bank transfer (automatic)","Yes","Male","No","Yes","Yes","Yes","Yes","DSL","Yes","Yes","No","No","Yes","No"
1794,72,1,1769.6,24.75,"Two year","Bank transfer (automatic)","No","Male","No","Yes","Yes","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1795,71,1,6293.75,91.05,"Two year","Mailed check","No","Female","No","Yes","Yes","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes"
1796,19,0,1761.05,89.65,"Month-to-month","Mailed check","No","Female","No","Yes","No","Yes","Yes","Fiber optic","No","No","Yes","No","No","Yes"
1797,23,1,1642.75,73.65,"Month-to-month","Credit card (automatic)","Yes","Female","No","Yes","No","Yes","Yes","DSL","No","No","No","Yes","Yes","Yes"
1798,30,1,578.5,19.4,"Two year","Credit card (automatic)","No","Female","No","No","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1799,35,1,954.9,26.2,"One year","Bank transfer (automatic)","No","Male","No","No","No","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1800,10,0,973.25,98.7,"Month-to-month","Electronic check","Yes","Female","No","No","No","Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes"
1801,1,1,43.85,43.85,"Month-to-month","Bank transfer (automatic)","Yes","Male","No","No","No","Yes","No","DSL","No","No","No","No","No","No"
1802,22,1,1490.4,69.7,"Month-to-month","Mailed check","Yes","Male","No","No","No","Yes","No","Fiber optic","No","No","No","No","No","No"
1803,7,1,280,38.55,"Two year","Mailed check","No","Male","No","Yes","Yes","No","No phone service","DSL","Yes","Yes","Yes","No","No","No"
1804,36,1,1901.25,53.1,"Two year","Mailed check","Yes","Female","No","No","No","No","No phone service","DSL","Yes","Yes","Yes","Yes","No","Yes"
1805,34,1,716.4,20.65,"Month-to-month","Mailed check","No","Female","No","Yes","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1806,72,1,4720,64.45,"Two year","Credit card (automatic)","No","Male","No","Yes","Yes","Yes","Yes","DSL","Yes","Yes","Yes","No","No","No"
1807,36,1,930.95,25.1,"Two year","Credit card (automatic)","No","Male","No","Yes","Yes","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1808,1,0,76.35,76.35,"Month-to-month","Electronic check","No","Female","No","No","No","Yes","No","Fiber optic","No","No","Yes","No","No","No"
1809,23,0,1676.95,79.15,"Month-to-month","Electronic check","Yes","Female","No","No","No","Yes","Yes","Fiber optic","No","Yes","No","No","No","No"
1810,32,0,2642.05,85,"Month-to-month","Electronic check","Yes","Male","Yes","Yes","No","Yes","Yes","Fiber optic","No","No","No","No","No","Yes"
1811,71,1,6770.85,95.15,"One year","Credit card (automatic)","Yes","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No"
1812,23,1,1835.3,79.35,"Month-to-month","Mailed check","Yes","Female","Yes","No","No","Yes","Yes","Fiber optic","No","No","Yes","No","No","No"
1813,17,1,1588.25,96.65,"One year","Bank transfer (automatic)","Yes","Male","No","Yes","No","Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes"
1814,1,1,75.5,75.5,"Month-to-month","Electronic check","Yes","Male","No","No","No","Yes","No","DSL","No","No","Yes","Yes","Yes","Yes"
1815,12,1,258.35,19.7,"Two year","Mailed check","No","Male","No","Yes","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1816,72,1,1502.25,20.5,"Two year","Credit card (automatic)","No","Female","No","Yes","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1817,1,1,19.2,19.2,"Month-to-month","Mailed check","No","Male","No","No","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1818,72,1,6929.4,98.35,"Two year","Bank transfer (automatic)","No","Male","Yes","Yes","No","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes"
1819,60,1,4453.3,74.35,"Month-to-month","Bank transfer (automatic)","No","Male","No","Yes","Yes","Yes","Yes","Fiber optic","No","No","No","No","No","No"
1820,61,1,3244.4,51.35,"Two year","Credit card (automatic)","No","Female","No","Yes","Yes","No","No phone service","DSL","No","Yes","Yes","Yes","Yes","No"
1821,6,1,323.45,45.65,"Month-to-month","Mailed check","No","Female","No","Yes","No","Yes","No","DSL","No","No","No","No","No","No"
1822,32,0,2661.1,85.3,"Month-to-month","Electronic check","No","Male","Yes","Yes","No","Yes","Yes","Fiber optic","No","No","No","No","No","Yes"
1823,31,0,2697.4,86.55,"Month-to-month","Credit card (automatic)","Yes","Female","No","No","Yes","Yes","Yes","Fiber optic","No","No","No","No","Yes","No"
1824,19,0,1424.5,73.85,"Month-to-month","Credit card (automatic)","Yes","Male","No","No","No","Yes","No","Fiber optic","No","Yes","No","No","No","No"
1825,72,1,1401.15,20.3,"Two year","Bank transfer (automatic)","No","Male","No","Yes","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1826,32,1,1739.6,54.2,"Month-to-month","Electronic check","Yes","Female","No","No","No","Yes","Yes","DSL","No","Yes","No","No","No","No"
1827,65,1,5931,90.65,"Month-to-month","Electronic check","Yes","Male","No","Yes","No","Yes","Yes","Fiber optic","No","Yes","No","No","No","Yes"
1828,45,1,2333.85,50.9,"Month-to-month","Bank transfer (automatic)","Yes","Female","No","Yes","Yes","No","No phone service","DSL","Yes","No","No","No","Yes","Yes"
1829,42,1,949.85,25.05,"One year","Electronic check","No","Male","No","No","No","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1830,8,1,572.45,74.85,"Month-to-month","Electronic check","Yes","Male","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","No"
1831,32,1,696.8,20.5,"Two year","Mailed check","No","Male","No","No","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1832,22,1,1381.8,63.55,"Month-to-month","Mailed check","Yes","Female","Yes","Yes","No","Yes","Yes","DSL","Yes","Yes","No","Yes","No","No"
1833,57,0,2572.95,44.85,"Month-to-month","Electronic check","Yes","Male","Yes","Yes","No","No","No phone service","DSL","No","No","No","No","Yes","Yes"
1834,1,1,47.95,47.95,"Month-to-month","Electronic check","No","Male","No","No","No","Yes","No","DSL","Yes","No","No","No","No","No"
1835,1,0,45.1,45.1,"Month-to-month","Electronic check","No","Male","Yes","No","No","Yes","No","DSL","No","No","No","No","No","No"
1836,1,1,45,45,"Month-to-month","Electronic check","Yes","Female","No","Yes","No","Yes","No","DSL","No","No","No","No","No","No"
1837,24,0,2122.45,96,"Month-to-month","Electronic check","Yes","Male","No","No","No","Yes","No","Fiber optic","No","No","No","Yes","Yes","Yes"
1838,1,0,20.05,20.05,"Month-to-month","Bank transfer (automatic)","No","Male","No","No","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1839,54,1,4931.8,90.05,"Month-to-month","Electronic check","Yes","Male","Yes","No","No","Yes","Yes","Fiber optic","No","Yes","No","No","No","Yes"
1840,4,1,116.95,25.3,"Two year","Credit card (automatic)","Yes","Female","No","No","No","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1841,65,0,6937.95,108.65,"Two year","Bank transfer (automatic)","No","Male","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes"
1842,56,1,1261.7,24.3,"One year","Electronic check","No","Female","No","Yes","No","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1843,45,1,3273.8,75.95,"Month-to-month","Electronic check","Yes","Male","No","No","No","Yes","No","DSL","Yes","No","Yes","No","Yes","Yes"
1844,71,1,1415.85,19.7,"Two year","Credit card (automatic)","No","Female","No","Yes","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1845,59,1,3958.2,66.4,"One year","Credit card (automatic)","No","Male","No","Yes","No","Yes","No","DSL","Yes","Yes","Yes","No","Yes","No"
1846,69,1,2492.25,35.75,"One year","Bank transfer (automatic)","Yes","Male","No","No","No","No","No phone service","DSL","No","Yes","Yes","No","No","No"
1847,19,1,279.2,18.8,"One year","Mailed check","No","Male","No","No","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1848,55,1,1083,19.4,"Two year","Credit card (automatic)","No","Female","No","Yes","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1849,38,1,755.5,19.3,"One year","Mailed check","No","Female","No","No","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1850,10,0,402.6,45.55,"Month-to-month","Electronic check","Yes","Male","No","No","No","Yes","No","DSL","No","No","No","No","No","No"
1851,47,1,3252,67.45,"Month-to-month","Credit card (automatic)","Yes","Female","Yes","Yes","No","Yes","Yes","DSL","Yes","Yes","Yes","No","No","No"
1852,2,0,68.75,35.1,"Month-to-month","Electronic check","Yes","Female","No","Yes","No","No","No phone service","DSL","No","No","No","No","No","Yes"
1853,1,0,46.2,46.2,"Month-to-month","Credit card (automatic)","No","Male","No","No","No","Yes","No","DSL","No","No","No","No","No","No"
1854,1,0,45.15,45.15,"Month-to-month","Electronic check","No","Female","No","No","No","Yes","No","DSL","No","No","No","No","No","No"
1855,1,0,43.3,43.3,"Month-to-month","Electronic check","Yes","Male","Yes","No","No","No","No phone service","DSL","No","Yes","Yes","No","No","Yes"
1856,46,1,936.85,20.1,"Two year","Mailed check","Yes","Male","No","Yes","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1857,38,0,2250.65,57.15,"Month-to-month","Credit card (automatic)","Yes","Female","Yes","No","No","Yes","No","DSL","Yes","Yes","No","No","No","No"
1858,65,1,3857.1,58.9,"Two year","Credit card (automatic)","No","Female","No","Yes","No","Yes","No","DSL","Yes","No","Yes","Yes","No","No"
1859,19,0,1441.1,73.2,"Month-to-month","Electronic check","Yes","Female","No","Yes","No","Yes","No","Fiber optic","Yes","No","No","No","No","No"
1860,52,0,4338.6,85.35,"Month-to-month","Electronic check","Yes","Male","No","No","No","Yes","No","Fiber optic","No","Yes","No","No","No","Yes"
1861,71,1,1378.45,19.45,"Two year","Mailed check","No","Male","No","Yes","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1862,1,0,45.95,45.95,"Month-to-month","Mailed check","No","Female","No","No","No","Yes","No","DSL","No","No","No","No","No","No"
1863,52,1,2566.3,50.5,"Month-to-month","Electronic check","Yes","Female","Yes","No","No","No","No phone service","DSL","No","Yes","Yes","Yes","Yes","No"
1864,6,1,171,25.1,"One year","Mailed check","No","Male","No","Yes","No","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1865,26,1,1597.4,60.7,"One year","Mailed check","No","Female","Yes","Yes","No","Yes","No","DSL","No","No","Yes","No","No","Yes"
1866,48,1,4744.35,99,"One year","Electronic check","Yes","Male","Yes","No","No","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes"
1867,64,1,6721.6,104.4,"One year","Bank transfer (automatic)","Yes","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","No","No","Yes","Yes","Yes"
1868,3,0,247.25,83.75,"Month-to-month","Electronic check","No","Female","No","No","No","Yes","No","Fiber optic","No","Yes","No","No","Yes","No"
1869,1,1,44.05,44.05,"Month-to-month","Bank transfer (automatic)","Yes","Male","No","No","No","Yes","No","DSL","No","No","No","No","No","No"
1870,72,1,1734.65,24.1,"Two year","Credit card (automatic)","No","Male","No","Yes","Yes","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
1871,1,1,45.55,45.55,"Month-to-month","Mailed check","Yes","Male","No","No","No","Yes","No","DSL","No","No","No","No","No","No"
1872,51,1,4539.35,93.8,"Month-to-month","Electronic check","Yes","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","No","No","No","Yes"
